date;prix;rendements
15/08/2017;6,477;-0,001541545
16/08/2017;6,505;0,004322989
17/08/2017;6,402;-0,015833974
18/08/2017;6,4;-0,000312402
21/08/2017;6,322;-0,0121875
22/08/2017;6,381;0,00933249
23/08/2017;6,292;-0,013947657
24/08/2017;6,296;0,000635728
25/08/2017;6,288;-0,001270648
28/08/2017;6,225;-0,010019084
29/08/2017;6,109;-0,018634538
30/08/2017;6,153;0,007202488
31/08/2017;6,308;0,025190964
01/09/2017;6,299;-0,00142676
04/09/2017;6,237;-0,009842832
05/09/2017;6,184;-0,008497675
06/09/2017;6,317;0,021507115
07/09/2017;6,25;-0,0106063
08/09/2017;6,415;0,0264
11/09/2017;6,479;0,009976617
12/09/2017;6,599;0,018521377
13/09/2017;6,495;-0,015759964
14/09/2017;6,565;0,010777521
15/09/2017;6,462;-0,015689261
18/09/2017;6,429;-0,005106778
19/09/2017;6,439;0,001555452
20/09/2017;6,409;-0,004659109
21/09/2017;6,603;0,030269933
22/09/2017;6,633;0,004543389
25/09/2017;6,556;-0,011608624
26/09/2017;6,51;-0,007016473
27/09/2017;6,697;0,028725038
28/09/2017;6,74;0,006420785
29/09/2017;6,77;0,004451039
02/10/2017;6,742;-0,004135894
03/10/2017;6,955;0,031592999
04/10/2017;6,91;-0,006470165
05/10/2017;7,006;0,013892909
06/10/2017;7;-0,000856409
09/10/2017;6,95;-0,007142857
10/10/2017;6,856;-0,01352518
11/10/2017;6,795;-0,008897316
12/10/2017;6,744;-0,007505519
13/10/2017;6,561;-0,027135231
16/10/2017;6,598;0,005639384
17/10/2017;6,613;0,002273416
18/10/2017;6,661;0,00725843
19/10/2017;6,623;-0,005704849
20/10/2017;6,837;0,032311641
23/10/2017;6,805;-0,004680415
24/10/2017;6,932;0,018662748
25/10/2017;6,849;-0,011973456
26/10/2017;6,807;-0,006132282
27/10/2017;6,84;0,004847951
30/10/2017;6,813;-0,003947368
31/10/2017;6,732;-0,011889036
01/11/2017;6,759;0,004010695
02/11/2017;6,753;-0,000887705
03/11/2017;6,723;-0,00444247
06/11/2017;6,631;-0,013684367
07/11/2017;6,61;-0,003166943
08/11/2017;6,765;0,023449319
09/11/2017;6,615;-0,022172949
10/11/2017;6,643;0,004232804
13/11/2017;6,513;-0,019569472
14/11/2017;6,438;-0,011515431
15/11/2017;6,455;0,002640572
16/11/2017;6,542;0,013477924
17/11/2017;6,533;-0,001375726
20/11/2017;6,473;-0,009184142
21/11/2017;6,546;0,011277615
22/11/2017;6,502;-0,006721662
23/11/2017;6,514;0,001845586
24/11/2017;6,593;0,012127725
27/11/2017;6,528;-0,009858941
28/11/2017;6,498;-0,004595588
29/11/2017;6,686;0,028931979
30/11/2017;6,81;0,018546216
01/12/2017;6,654;-0,022907489
04/12/2017;6,819;0,024797115
